10.0,101,279,-25.0,2.74,[0.0, 0.0, 1.0, 0.0]
Budget: 10.0, verticies: 101, edges: 279, GV: -25.0, runtime(S): 2.713, resources: [0.0, 0.0, 1.0, 0.0]
Budget: 10.0, verticies: 101, edges: 279, GV: -25.0, runtime(S): 2.747, resources: [0.0, 0.0, 1.0, 0.0]
Budget: 10.0, verticies: 101, edges: 279, GV: -30.0, runtime(S): 5.184, resources: [2.0, 0.0, 0.0, 0.0]
Budget: 10.0, verticies: 101, edges: 279, GV: -25.0, runtime(S): 2.731, resources: [0.0, 0.0, 1.0, 0.0]
Budget: 10.0, verticies: 71, edges: 173, GV: -29.0, runtime(S): 7.236, resources: [0.0, 0.0, 0.0, 1.0]
Budget: 10.0, verticies: 101, edges: 279, GV: -30.0, runtime(S): 5.313, resources: [2.0, 0.0, 0.0, 0.0]
Budget: 20.0, verticies: 71, edges: 185, GV: 0.0, runtime(S): 2.838, resources: [4.0, 0.0, 0.0, 0.0]
Budget: 20.0, verticies: 71, edges: 181, GV: 0.0, runtime(S): 2.966, resources: [4.0, 0.0, 0.0, 0.0]
Budget: 20.0, verticies: 91, edges: 289, GV: 0.0, runtime(S): 4.062, resources: [4.0, 0.0, 0.0, 0.0]
Budget: 20.0, verticies: 71, edges: 189, GV: 0.0, runtime(S): 2.639, resources: [4.0, 0.0, 0.0, 0.0]
Budget: 20.0, verticies: 71, edges: 189, GV: -1.864609166896298, runtime(S): 328.267, resources: [1.0, 0.0, 2.0, 0.0]
Budget: 10.0, verticies: 17, edges: 28, GV: -31.25, runtime(S): 10.471, resources: [2.0, 0.0, 0.0, 0.0]
Budget: 20.0, verticies: 21, edges: 43, GV: -7.083846715649268, runtime(S): 30.221, resources: [0.0, 1.0, 2.0, 0.0]
